,,,,,,,,,,,,,,
,회사명,무신사,,,,,,,,,,,,
,SW명칭,무신사 추천탭,,,,,,,,,,,,
,Web URL,,,,,,,,,,,,,
,OS/App Version,안드로이드,,,,,,,,,,,,
,테스터,성원호,,,,,,,,,,,,
,,,,,,,,,,,,,,
No.,구분,Level 1,Level 2,Level 3,level4,priority,사전조건,Step,Expected Result,Galaxy A50 ,Galaxy  tab s8,이슈 설명,의견 or 권고사항,
TEST_000100,App,앱 구동,,,,p1,최신버전 어플 설치,앱을 구동한다.,앱이 구동한다.,pass,pass,,,
TEST_000200,App,홈,추천 탭,배너,,p1,설치 후 최초 접속,배너노출을 확인한다.,배너가 정상 노출 된다.,pass,fail,갤럭시 탭 s8에서 추천탭 배너노출 안됨,"가로모드로 최초 진입시 오류발생으로 추정
세로모드 변환 후 배너 정상노출",
TEST_000201,,,,,,p1,,다른 탭으로 이동후 다시 추천으로 돌아온다.,배너가 정상 노출 된다.,pass,fail,다른탭으로 이동후 복귀해도 배너 무응답,,
TEST_000300,App,,,배너하단 바로가기,,p1,,배너하단 10개의 바로가기중 뷰티를 터치한다.,뷰티페이지로 정상 이동한다,pass,pass,,,
TEST_000301,,,,,,p1,,뷰티 바로가기를 제외한 바로가기를 하나 선택하여 터치한다.,선택한 페이지로 정상 이동한다.,pass,pass,,,
TEST_000400,App,,,개인화 추천,취향저격 상품,p1,비로그인,추천탭에서 스크롤을 내린다.,고객님의 취향저격 상품 노출된다.,pass,pass,,기획의도 질문 필요,
TEST_000401,,,,,,p1,신규 ID 로그인(닉네임x),추천탭에서 스크롤을 내린다.,user의 취향저격 상품 노출된다.,fail,fail,뉴비_난수 형태의 user코드로 노출함,,
TEST_000402,,,,,,p1,춈묘 로그인,추천탭에서 스크롤을 내린다.,춈묘님의 취향저격 상품 노출된다.,pass,pass,,,
TEST_000403,,,,,내가 좋아할 만한 상품 버틍,p1,비로그인,내가 좋아할 만한 상품 버튼을 누른다.,회원님을 위한 추천 페이지로 이동한다. 비로그인 회원에게 상품을 추천한다.,pass,pass,,,
TEST_000404,,,,,,p1,로그인,내가 좋아할 만한 상품 버튼을 누른다.,회원님을 위한 추천 페이지로 이동한다. 회원 정보에 기반한 상품을 추천한다.,pass,pass,,,
TEST_000405,,,,,~를 위한 브랜드,p1,비로그인,추천탭에서 스크롤을 내린다., 고객님의 취향저격 브랜드를 추천한다. 브랜드 버튼 노출된다.,pass,pass,,,
TEST_000406,,,,,,p1,신규ID,추천탭에서 스크롤을 내린다., user의 취향저격 브랜드를 추천한다. 브랜드 버튼 노출된다.,fail,fail,뉴비_난수 형태의 user코드로 노출함.,기획의도 인지 질문 필요.,
TEST_000407,,,,,,p1,춈묘 로그인,추천탭에서 스크롤을 내린다., 춈묘님의 취향저격 브랜드를 추천한다. 브랜드 버튼 노출된다.,pass,pass,,,
TEST_000408,,,,,,p1,비로그인,~ 브랜드 숍 바로가기 버튼 터치한다.,해당하는 브랜드 숍으로 페이지 이동한다.,pass,pass,,,
TEST_000409,,,,,,p1,로그인,~ 브랜드 숍 바로가기 버튼 터치한다.,해당하는 브랜드 숍으로 페이지 이동한다.,pass,pass,,,
TEST_000410,,,,,,p1,,"1. 원형 브랜드 UI를 터치한다.
2. 하나씩 전부 터치해 브랜드를 전환해 본다.","브랜드가 정상전환되어, 상품과 숍바로가기 버튼이 바뀐다.",pass,pass,,,
TEST_000411,,,,무신사의 감각 있는 전문관 ,,p1,,브랜드 추천 보다 아래로 스크롤을 내린다.,무신사의 감각있는 전문관 정상노출된다.,pass,fail,태블릿에서는 휴대폰과 다르게 타원형 전문관 버튼이 노출되지 않음.,기획의도 인지 확인 필요.,
